,Date,Time,Latitude,Longitude,VehicleID
174191,2013-01-12,09:05:09,53.389759,-6.246603,43073
174503,2013-01-12,09:05:27,53.389698,-6.247648,43073
174828,2013-01-12,09:05:47,53.38969,-6.249195,43073
175259,2013-01-12,09:06:08,53.390133,-6.249266,43073
175593,2013-01-12,09:06:28,53.391068,-6.250635,43073
175899,2013-01-12,09:06:46,53.391079,-6.253168,43073
176224,2013-01-12,09:07:07,53.390812,-6.254257,43073
176654,2013-01-12,09:07:25,53.390549,-6.256193,43073
177043,2013-01-12,09:07:46,53.390839,-6.258557,43073
177446,2013-01-12,09:08:08,53.391094,-6.260693,43073
177869,2013-01-12,09:08:28,53.391144,-6.261621,43073
178208,2013-01-12,09:08:47,53.391144,-6.261621,43073
178590,2013-01-12,09:09:07,53.391144,-6.261621,43073
179023,2013-01-12,09:09:27,53.391144,-6.261621,43073
179268,2013-01-12,09:09:45,53.391144,-6.261621,43073
179678,2013-01-12,09:10:06,53.391144,-6.261621,43073
180102,2013-01-12,09:10:26,53.391144,-6.261621,43073
180436,2013-01-12,09:10:46,53.391144,-6.261621,43073
180831,2013-01-12,09:11:07,53.391144,-6.261621,43073
181197,2013-01-12,09:11:25,53.391144,-6.261621,43073
181545,2013-01-12,09:11:46,53.391144,-6.261621,43073
181914,2013-01-12,09:12:06,53.391144,-6.261621,43073
182354,2013-01-12,09:12:27,53.391144,-6.261621,43073
182725,2013-01-12,09:12:47,53.391144,-6.261621,43073
183019,2013-01-12,09:13:10,53.391144,-6.261621,43073
183388,2013-01-12,09:13:26,53.391144,-6.261621,43073
184122,2013-01-12,09:14:07,53.391144,-6.261621,43073
184315,2013-01-12,09:14:11,53.391201,-6.262084,43073
184971,2013-01-12,09:14:48,53.391201,-6.2621,43073
185254,2013-01-12,09:15:06,53.391167,-6.262116,43073
185285,2013-01-12,09:15:08,53.391167,-6.262116,43073
185597,2013-01-12,09:15:26,53.391182,-6.2621,43073
185948,2013-01-12,09:15:45,53.391201,-6.262067,43073
186283,2013-01-12,09:16:05,53.391216,-6.262067,43073
186548,2013-01-12,09:16:11,53.391216,-6.262067,43073
186772,2013-01-12,09:16:28,53.391216,-6.262067,43073
187073,2013-01-12,09:16:46,53.391232,-6.262033,43073
187451,2013-01-12,09:17:07,53.391216,-6.262067,43073
187585,2013-01-12,09:17:11,53.391216,-6.262067,43073
187886,2013-01-12,09:17:27,53.391216,-6.262067,43073
188169,2013-01-12,09:17:45,53.391201,-6.262084,43073
188545,2013-01-12,09:18:06,53.391216,-6.262067,43073
188749,2013-01-12,09:18:12,53.391216,-6.262067,43073
189032,2013-01-12,09:18:28,53.391201,-6.26205,43073
189338,2013-01-12,09:18:46,53.391182,-6.262067,43073
189622,2013-01-12,09:19:05,53.391167,-6.262067,43073
189773,2013-01-12,09:19:09,53.391167,-6.262067,43073
190043,2013-01-12,09:19:25,53.391167,-6.262067,43073
190458,2013-01-12,09:19:45,53.391167,-6.262067,43073
190806,2013-01-12,09:20:06,53.391167,-6.262067,43073
190973,2013-01-12,09:20:10,53.391167,-6.262067,43073
191327,2013-01-12,09:20:28,53.391182,-6.262067,43073
191633,2013-01-12,09:20:47,53.391201,-6.262067,43073
191885,2013-01-12,09:21:05,53.391201,-6.262084,43073
192109,2013-01-12,09:21:09,53.391201,-6.262084,43073
192473,2013-01-12,09:21:27,53.391201,-6.262084,43073
192784,2013-01-12,09:21:46,53.391201,-6.262067,43073
193131,2013-01-12,09:22:06,53.391201,-6.262067,43073
193265,2013-01-12,09:22:10,53.391201,-6.262067,43073
193562,2013-01-12,09:22:33,53.391201,-6.262067,43073
193913,2013-01-12,09:22:45,53.391182,-6.2621,43073
194266,2013-01-12,09:23:05,53.391201,-6.262084,43073
194409,2013-01-12,09:23:10,53.391201,-6.262084,43073
194752,2013-01-12,09:23:26,53.391201,-6.262067,43073
195114,2013-01-12,09:23:46,53.391201,-6.262084,43073
195401,2013-01-12,09:24:05,53.391216,-6.262067,43073
195663,2013-01-12,09:24:11,53.391216,-6.262067,43073
195924,2013-01-12,09:24:27,53.391216,-6.262067,43073
196223,2013-01-12,09:24:47,53.391216,-6.262067,43073
196699,2013-01-12,09:25:10,53.391216,-6.262067,43073
197401,2013-01-12,09:25:48,53.391216,-6.262067,43073
197749,2013-01-12,09:26:07,53.391216,-6.262067,43073
198206,2013-01-12,09:26:27,53.391216,-6.262067,43073
198479,2013-01-12,09:26:46,53.391216,-6.262067,43073
198858,2013-01-12,09:27:06,53.391216,-6.262067,43073
199337,2013-01-12,09:27:29,53.391216,-6.262067,43073
199581,2013-01-12,09:27:45,53.391216,-6.262067,43073
199970,2013-01-12,09:28:09,53.391216,-6.262067,43073
200447,2013-01-12,09:28:28,53.391216,-6.262067,43073
200743,2013-01-12,09:28:46,53.391216,-6.262067,43073
201112,2013-01-12,09:29:08,53.391216,-6.262067,43073
201406,2013-01-12,09:29:25,53.391216,-6.262067,43073
201863,2013-01-12,09:29:47,53.391216,-6.262067,43073
202146,2013-01-12,09:30:05,53.391216,-6.262067,43073
202604,2013-01-12,09:30:26,53.391186,-6.262341,43073
203014,2013-01-12,09:30:48,53.391869,-6.261726,43073
203289,2013-01-12,09:31:07,53.391788,-6.259505,43073
203706,2013-01-12,09:31:27,53.391537,-6.257452,43073
204001,2013-01-12,09:31:45,53.391109,-6.254732,43073
204369,2013-01-12,09:32:06,53.391083,-6.252076,43073
204789,2013-01-12,09:32:26,53.391087,-6.251322,43073
205236,2013-01-12,09:32:49,53.39109,-6.25091,43073
205553,2013-01-12,09:33:09,53.390148,-6.249268,43073
205989,2013-01-12,09:33:27,53.389645,-6.248488,43073
206355,2013-01-12,09:33:46,53.389736,-6.246253,43073
206707,2013-01-12,09:34:06,53.389191,-6.246041,43073
207104,2013-01-12,09:34:25,53.388737,-6.245831,43073
207459,2013-01-12,09:34:45,53.387882,-6.244749,43073
207850,2013-01-12,09:35:08,53.387543,-6.243224,43073
208278,2013-01-12,09:35:30,53.387154,-6.242187,43073
208581,2013-01-12,09:35:46,53.385151,-6.243165,43073
208966,2013-01-12,09:36:07,53.383289,-6.24401,43073
209388,2013-01-12,09:36:27,53.382877,-6.244241,43073
209663,2013-01-12,09:36:45,53.382877,-6.244241,43073
210052,2013-01-12,09:37:06,53.382877,-6.244241,43073
210532,2013-01-12,09:37:28,53.381893,-6.244828,43073
210839,2013-01-12,09:37:46,53.380341,-6.24592,43073
211243,2013-01-12,09:38:07,53.37875,-6.247152,43073
211579,2013-01-12,09:38:25,53.37793,-6.247891,43073
211892,2013-01-12,09:38:46,53.377861,-6.247956,43073
212361,2013-01-12,09:39:08,53.37759,-6.2482,43073
212710,2013-01-12,09:39:24,53.376709,-6.249293,43073
213088,2013-01-12,09:39:47,53.37664,-6.249388,43073
213423,2013-01-12,09:40:07,53.37664,-6.249388,43073
213836,2013-01-12,09:40:26,53.376549,-6.249507,43073
214134,2013-01-12,09:40:46,53.375423,-6.250691,43073
214555,2013-01-12,09:41:07,53.37516,-6.250914,43073
214933,2013-01-12,09:41:25,53.37516,-6.250914,43073
215624,2013-01-12,09:42:08,53.373672,-6.251894,43073
216070,2013-01-12,09:42:28,53.372452,-6.252639,43073
216754,2013-01-12,09:43:09,53.369949,-6.254246,43073
217155,2013-01-12,09:43:27,53.369038,-6.254814,43073
217497,2013-01-12,09:43:48,53.367516,-6.255453,43073
217812,2013-01-12,09:44:08,53.365814,-6.255988,43073
218236,2013-01-12,09:44:26,53.364243,-6.257155,43073
218606,2013-01-12,09:44:49,53.363998,-6.257374,43073
218947,2013-01-12,09:45:07,53.363297,-6.258008,43073
219380,2013-01-12,09:45:28,53.362064,-6.259156,43073
219679,2013-01-12,09:45:46,53.36203,-6.259185,43073
220035,2013-01-12,09:46:06,53.361408,-6.25972,43073
220550,2013-01-12,09:46:29,53.360493,-6.260571,43073
220844,2013-01-12,09:46:47,53.360184,-6.260866,43073
221107,2013-01-12,09:47:05,53.360168,-6.260881,43073
221570,2013-01-12,09:47:26,53.359646,-6.261375,43073
221961,2013-01-12,09:47:48,53.358669,-6.262354,43073
222272,2013-01-12,09:48:07,53.358124,-6.263044,43073
222742,2013-01-12,09:48:28,53.357174,-6.264145,43073
223094,2013-01-12,09:48:48,53.356026,-6.265272,43073
223478,2013-01-12,09:49:08,53.356026,-6.265272,43073
223836,2013-01-12,09:49:29,53.353554,-6.267642,43073
224179,2013-01-12,09:49:50,53.352627,-6.264178,43073
224423,2013-01-12,09:50:08,53.353279,-6.262082,43073
224868,2013-01-12,09:50:26,53.353279,-6.262082,43073
225084,2013-01-12,09:50:45,53.352482,-6.261234,43073
225648,2013-01-12,09:51:10,53.351429,-6.260779,43073
225994,2013-01-12,09:51:26,53.350773,-6.260493,43073
226320,2013-01-12,09:51:48,53.349854,-6.260078,43073
226695,2013-01-12,09:52:07,53.348888,-6.259649,43073
227124,2013-01-12,09:52:27,53.348591,-6.259525,43073
227467,2013-01-12,09:52:48,53.348591,-6.259525,43073
227853,2013-01-12,09:53:08,53.347359,-6.258976,43073
228307,2013-01-12,09:53:31,53.347206,-6.25888,43073
228583,2013-01-12,09:53:47,53.347206,-6.25888,43073
228953,2013-01-12,09:54:07,53.346699,-6.258473,43073
229256,2013-01-12,09:54:30,53.345928,-6.257406,43073
229780,2013-01-12,09:54:48,53.345905,-6.25614,43073
230054,2013-01-12,09:55:08,53.345963,-6.255975,43073
230376,2013-01-12,09:55:27,53.34594,-6.25551,43073
230810,2013-01-12,09:55:47,53.34597,-6.25614,43073
231148,2013-01-12,09:56:07,53.34597,-6.25614,43073
231564,2013-01-12,09:56:28,53.34589,-6.254566,43073
231920,2013-01-12,09:56:46,53.345825,-6.253262,43073
232264,2013-01-12,09:57:10,53.34576,-6.251973,43073
232651,2013-01-12,09:57:28,53.345692,-6.250639,43073
233145,2013-01-12,09:57:50,53.345547,-6.249517,43073
233392,2013-01-12,09:58:08,53.345455,-6.248652,43073
233727,2013-01-12,09:58:27,53.344913,-6.247309,43073
234128,2013-01-12,09:58:47,53.343483,-6.246071,43073
234511,2013-01-12,09:59:07,53.343327,-6.245327,43073
234850,2013-01-12,09:59:28,53.343124,-6.244183,43073
235228,2013-01-12,09:59:46,53.342808,-6.24168,43073
235685,2013-01-12,10:00:11,53.342896,-6.242437,43073
235946,2013-01-12,10:00:27,53.342766,-6.241323,43073
236426,2013-01-12,10:00:49,53.342468,-6.23903,43073
236680,2013-01-12,10:01:06,53.342346,-6.237864,43073
237043,2013-01-12,10:01:26,53.342167,-6.236396,43073
237529,2013-01-12,10:01:48,53.342113,-6.236074,43073
237903,2013-01-12,10:02:09,53.34177,-6.233449,43073
238157,2013-01-12,10:02:27,53.34177,-6.233449,43073
238618,2013-01-12,10:02:48,53.341576,-6.230071,43073
239021,2013-01-12,10:03:08,53.341576,-6.230071,43073
239274,2013-01-12,10:03:26,53.34182,-6.226732,43073
239708,2013-01-12,10:03:49,53.341114,-6.225668,43073
240060,2013-01-12,10:04:07,53.339611,-6.223367,43073
240452,2013-01-12,10:04:28,53.338165,-6.222662,43073
240864,2013-01-12,10:04:46,53.338001,-6.222573,43073
241220,2013-01-12,10:05:07,53.337994,-6.222569,43073
241538,2013-01-12,10:05:27,53.33667,-6.222255,43073
241908,2013-01-12,10:05:47,53.335949,-6.221375,43073
242347,2013-01-12,10:06:06,53.335415,-6.219719,43073
242743,2013-01-12,10:06:28,53.334217,-6.217965,43073
243069,2013-01-12,10:06:49,53.333195,-6.216528,43073
243466,2013-01-12,10:07:07,53.33292,-6.216169,43073
243831,2013-01-12,10:07:28,53.332413,-6.215576,43073
244259,2013-01-12,10:07:48,53.333153,-6.214671,43073
244560,2013-01-12,10:08:06,53.333813,-6.21432,43073
245015,2013-01-12,10:08:29,53.333534,-6.214292,43073
245455,2013-01-12,10:08:47,53.333534,-6.214292,43073
245830,2013-01-12,10:09:08,53.333534,-6.214292,43073
246126,2013-01-12,10:09:26,53.333408,-6.213871,43073
246587,2013-01-12,10:09:47,53.333374,-6.211577,43073
246985,2013-01-12,10:10:09,53.332375,-6.210612,43073
247244,2013-01-12,10:10:25,53.330013,-6.209012,43073
247746,2013-01-12,10:10:48,53.327938,-6.208702,43073
248096,2013-01-12,10:11:08,53.32589,-6.207564,43073
248491,2013-01-12,10:11:27,53.325062,-6.207516,43073
248902,2013-01-12,10:11:47,53.324844,-6.208624,43073
249208,2013-01-12,10:12:05,53.324844,-6.208624,43073
249983,2013-01-12,10:12:46,53.324844,-6.208624,43073
250708,2013-01-12,10:13:27,53.324844,-6.208624,43073
250945,2013-01-12,10:13:35,53.324249,-6.212266,43073
251151,2013-01-12,10:13:47,53.324268,-6.212283,43073
251463,2013-01-12,10:14:06,53.324284,-6.2123,43073
251793,2013-01-12,10:14:26,53.324284,-6.212283,43073
252112,2013-01-12,10:14:34,53.324284,-6.212283,43073
252299,2013-01-12,10:14:49,53.324284,-6.2123,43073
252627,2013-01-12,10:15:07,53.324284,-6.2123,43073
253019,2013-01-12,10:15:27,53.324268,-6.212283,43073
253232,2013-01-12,10:15:36,53.324268,-6.212283,43073
253415,2013-01-12,10:15:46,53.324268,-6.212266,43073
253723,2013-01-12,10:16:06,53.324268,-6.212266,43073
254143,2013-01-12,10:16:26,53.324268,-6.212266,43073
254307,2013-01-12,10:16:37,53.324268,-6.212266,43073
254570,2013-01-12,10:16:47,53.324249,-6.212266,43073
254973,2013-01-12,10:17:09,53.324268,-6.21225,43073
255246,2013-01-12,10:17:25,53.324268,-6.21225,43073
255521,2013-01-12,10:17:36,53.324268,-6.21225,43073
255672,2013-01-12,10:17:46,53.324284,-6.212283,43073
